hypothesis_id,category,year,description,required_config_changes,expected_impact,scientific_justification,status,priority,notes
H01,gwp_strategy,2035,"Finland net-zero-by-2035: gwp_limit=0","gwp_limit_overall=0 (or very small e.g. 100 ktCO2/y for numeric safety)","Very tight constraint. May cause infeasibility if model cannot decarbonize heavy industry and transport within cost-optimal technology portfolio. Solver may need long time or fail.","Finland Carbon Neutrality Act (2035 target). However, Finland's policy target considers LULUCF sinks not modeled in ESMC, so true 'net-zero' in ESMC (which only models energy-system emissions) would be overly strict.",not_applied,medium,"Risk: infeasibility. May need to allow small residual emissions. ESMC does not model LULUCF."
H02,gwp_strategy,2050,"Net-zero 2050: gwp_limit=0","gwp_limit_overall=0","Should be more feasible than 2035 net-zero due to lower technology costs and higher technology maturity in 2050 dataset. But same LULUCF caveat applies.","EU Climate Law (net-zero by 2050). Widely used constraint in ESMC thesis (fossil-free scenarios).  Thesis uses fossil-fuel import ban rather than GWP cap (see §4 p.135).",not_applied,high,"Thesis approach was fossil-free (ban imports) not GWP cap. Consider both."
H03,gwp_strategy,2035,"Progressive 2035: moderate GWP cap (e.g. 15000 ktCO2/y ≈ 60% reduction from 2017 level of 41200 ktCO2/y)","gwp_limit_overall=15000","Medium constraint. Should be feasible — allows continued fossil use at reduced level. More realistic for 2035 given short transition time.","Finnish government's medium-term climate plan targets ~60% reduction in non-ETS sectors by 2035 vs 2005. Energy-sector CO2 was ~41 MtCO2 in 2017.",not_applied,high,"Moderate approach — good for feasibility testing before tightening."
H04,gwp_strategy,2050,"Near-zero 2050: gwp_limit=1000 ktCO2/y","gwp_limit_overall=1000","Allows small residual emissions from waste incineration and process heat. More solver-friendly than strict zero.","Practical interpretation of EU Climate Law allowing small residual emissions balanced by sinks. Numeric safety margin.",not_applied,high,"Preferred starting point for 2050."
H05,gwp_strategy,both,"Reproduce thesis approach: fossil-free (ban fossil imports)","Set avail_exterior=0 for GASOLINE DIESEL LFO JET_FUEL GAS COAL (via patch). gwp_limit_overall=None.","Removes all fossil fuel availability. Very strong — model must find renewable/nuclear alternatives for all energy. May be infeasible for single-country FI without electricity imports.","Direct replication of thesis methodology (Ch.4 p.135): 'no_imports' list bans all fossil fuels. Nuclear can stay.",rejected,medium,"User chose gwp_limit_overall approach instead of fossil-fuel ban."
H06,capacity_bounds,2035,"Brownfield 2035: raise f_min for techs with committed pipeline","Patch: WIND_ONSHORE f_min=0.496→3.0 GW (Finland has 6.9 GW installed 2024), WIND_OFFSHORE f_min=0→1.6 GW (committed projects), PV_ROOFTOP f_min=0→0.8 GW, PV_UTILITY f_min=0→0.5 GW","Forces model to install at least these capacities. Reflects sunk costs and committed projects. Reduces solution space — faster solve.","IEA/IRENA statistics: Finland had 6.9 GW wind (2024), ~0.8 GW rooftop PV (est). Fingrid pipeline shows 1.6 GW offshore committed by 2030. For 2035, at least current installations should exist.",accepted,high,"User confirmed. Exact values to be set in patch files."
H07,capacity_bounds,2050,"Brownfield 2050: same as H06 but with higher wind floor","Patch: WIND_ONSHORE f_min=0.496→5.0 GW, WIND_OFFSHORE f_min=0→3.0 GW, PV_ROOFTOP f_min=0→2.0 GW, PV_UTILITY f_min=0→2.0 GW","Same effect as H06 but assumes more installations locked in by 2050.","Plausible extrapolation: by 2050, Finland's wind fleet should be well above current levels. Lower bound represents irreversible investments.",accepted,medium,"User confirmed. Exact values to be set in patch files."
H08,capacity_bounds,both,"Cap f_max for numeric safety: reduce 1e15 to reasonable upper bounds","Patch: all techs with f_max=1e15 → f_max=100 GW for power, 1000 GW for storage, 50000 Mpkm/h for transport","Improves solver numerics significantly (barrier crossover stability). May slightly change results if model tried to install >100 GW of anything (unlikely for single-country FI).","CPLEX barrier solver known to have stability issues with mixed large/small coefficients. 163/167 REF_REGION techs have f_max=1e15.",rejected,high,"User: 'it has been done this way for MultiCell version should not be a problem'. Leave 1e15 as-is."
H09,capacity_bounds,2035,"NUCLEAR: keep thesis bounds (4.36–5.0 GW) vs relax for SMR","Option A: keep f_min=4.36 f_max=5.0 (thesis default — existing fleet). Option B: f_max=7.0 to allow NPP expansion or SMR. REF_REGION has NUCLEAR_SMR technology.","A: Model keeps current fleet, no new nuclear. B: Allows 2 GW expansion — significant low-carbon baseload.","Finnish energy policy allows new nuclear. Olkiluoto 3 (1.6 GW, 2023) already in f_min. Hanhikivi 1 project cancelled (2022). SMR interest growing.",not_applied,medium,"Decision linked to policy assumption. Thesis keeps nuclear fixed at current capacity."
H10,re_share,2035,"RE share primary energy target: 50% for 2035","re_share_primary={'FI': 0.5}","Forces at least 50% of primary energy from renewables. May conflict with nuclear and biomass classification.","Finland NECP target: 51% RE in gross final energy by 2030. For 2035, 50% primary is conservative.",not_applied,low,"ESMC RE share is primary energy basis, not final energy. Need to verify accounting."
