year,category,subcategory,parameter,technology_or_resource,value_2035,value_2050,unit,file_path_2035,source_dataset,hypothesis_or_justification,confidence,notes
,,,,,,,,,,,,
,,,SECTION A: GLOBAL MODEL PARAMETERS,,,,,,,,
2035,global,discount_rate,i_rate,,0.015,,fraction,Data/2035/00_INDEP/Misc_indep.json,"Thesis (Thiran 2023, Ch.1)","Social discount rate for long-term energy planning. Low value (1.5%) favours capital-intensive technologies (nuclear, renewables) over operating-cost-intensive ones (gas). Standard EU energy modelling practice.",high,"Strongly influences technology mix: higher rate would favour gas (low capex, high opex) over nuclear (high capex, low opex)."
2035,global,grid_losses,loss_network_ELECTRICITY,,0.047,,fraction,Data/2035/00_INDEP/Misc_indep.json,"EU average projection (Thesis Ch.1)","4.7% electricity grid losses for 2035 — lower than historical Finnish ~5.5% (grid modernisation).",medium,
2035,global,grid_losses,loss_network_HEAT_LOW_T_DHN,,0.05,,fraction,Data/2035/00_INDEP/Misc_indep.json,"Engineering defaults (Thesis Ch.1)","5% district heating network losses — Finnish DHN is well-insulated, could be lower.",medium,
2035,global,pv_density,power_density_pv,,0.170,,GW/km2,Data/2035/00_INDEP/Misc_indep.json,"Thesis (Ch.1)","Ground-mounted PV power density. Determines land area requirement for PV_UTILITY.",high,
2035,global,gwp_limit,gwp_limit_overall,,1e15,,ktCO2/y,Data/2035/00_INDEP/Misc_indep.json,Framework default (unconstrained),"Set to effectively infinity. Actual GWP constraint applied via run_fi_baseline_future.py --gwp-limit argument.",high,"GHG sweep overrides this to 41200*(1-savings_fraction)."
,,,,,,,,,,,,
,,,SECTION B: NUCLEAR HYPOTHESES,,,,,,,,
2035,technology,nuclear,f_min,NUCLEAR,4.36,,GW,Data/2035/FI/Technologies.csv,"Eurostat [169] — current installed capacity","4.36 GW = Olkiluoto 1 (0.89) + Olkiluoto 2 (0.89) + Olkiluoto 3 (1.6) + Loviisa 1 (0.49) + Loviisa 2 (0.49). All units assumed operational through 2035. Loviisa 1/2 licences expire 2027/2030 but extension is national policy baseline.",high,"CRITICAL HYPOTHESIS: model MUST build at least 4.36 GW nuclear. This quasi-forces nuclear into the solution. Loviisa lifetime extension is assumed but uncertain — a phase-out scenario (f_min=2.49 or 0) would be informative."
2035,technology,nuclear,f_max,NUCLEAR,5.0,,GW,Data/2035/FI/Technologies.csv,"National policy + socio-technical limit","5.0 GW = current fleet (4.36) + small margin for Hanhikivi-1 (cancelled 2022, but kept as option). No new large nuclear beyond policy consensus.",high,"Narrow band [4.36-5.0] leaves only 0.64 GW of model freedom."
2035,technology,nuclear,c_inv,NUCLEAR,4845.73,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114] — interpolated to 2035","High investment cost (4846 euro/kW) but 60-year lifetime makes annualised cost competitive at 1.5% discount rate.",high,
2035,technology,nuclear,c_maint,NUCLEAR,102.93,,Meuro/GW/y,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Fixed O&M cost. Includes staffing, maintenance, insurance.",high,
2035,technology,nuclear,lifetime,NUCLEAR,60,,years,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","60-year plant lifetime. Annualised investment = 4846 * CRF(1.5% x 60) = ~114 Meuro/GW/y.",high,
2035,technology,nuclear,c_p,NUCLEAR,0.849,,fraction,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]","Capacity factor 84.9%. Implies max output = 4.36 * 0.849 * 8760 = 32421 GWh/y = 32.4 TWh/y at f_min.",high,"Finnish historical CF is ~92%. DEA uses EU average which is lower."
2035,technology,nuclear,gwp_constr,NUCLEAR,707.88,,ktCO2-eq/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues — lifecycle construction emissions","Embodied emissions from construction (concrete, steel). Small compared to fossil alternatives.",high,
2035,technology,nuclear,efficiency,NUCLEAR,-2.7027 URANIUM per 1 ELECTRICITY,,GWh/GWh,Data/2035/00_INDEP/Layers_in_out.csv,"Thesis + DEA","Thermal efficiency = 1/2.7027 = 37.0%. Standard for light-water reactors.",high,
2035,resource,uranium,c_op_exterior,URANIUM,0.003876,,Meuro/GWh,Data/2035/00_INDEP/Resources_indep.csv,"IEA WEO 2020","3.88 euro/MWh — uranium fuel is extremely cheap. Nuclear operating cost dominated by c_maint not fuel.",high,
2035,resource,uranium,avail_exterior,URANIUM,1e15,,GWh/y,Data/2035/02_REF_REGION/Resources.csv,"Framework default","Unlimited uranium import. Finland imports all uranium — no domestic mining.",high,
2035,resource,uranium,gwp_op_exterior,URANIUM,0.0039,,ktCO2-eq/GWh,Data/2035/00_INDEP/Resources_indep.csv,"Thesis — lifecycle uranium supply chain","Very low upstream GHG (mining enrichment transport). Nuclear is near-zero-carbon in operation.",high,
,,,,,,,,,,,,
,,,SECTION C: RENEWABLE ENERGY HYPOTHESES,,,,,,,,
2035,technology,wind_onshore,f_min,WIND_ONSHORE,6.0,,GW,calibration/patches/fi_baseline_2035.csv,"PATCH: national targets (base file has 0.496 GW from Eurostat)","6.0 GW = committed Finnish pipeline + national 2035 target. Base FI/Technologies.csv has 0.496 (2020 installed). Patch raises this to reflect inevitable deployment.",high,"Patched from 0.496 -> 6.0 via fi_baseline_2035.csv"
2035,technology,wind_onshore,f_max,WIND_ONSHORE,30.77,,GW,Data/2035/FI/Technologies.csv,"ENSPRESO [110] — socio-technical potential","30.77 GW wind onshore potential for Finland. Very large headroom vs f_min.",high,
2035,technology,wind_onshore,c_inv,WIND_ONSHORE,1010.0,,Meuro/GW,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114] — interpolated to 2035","1010 euro/kW. 30-year lifetime. EU-average cost.",high,
2035,technology,wind_onshore,lifetime,WIND_ONSHORE,30,,years,Data/2035/02_REF_REGION/Technologies.csv,"DEA Technology Catalogues [114]",,high,
